index,zone,geoid
917,2,49057
918,2,29127
919,2,36045
920,1,19097
921,1,38063
922,2,36019
923,1,08045
924,2,29177
925,2,39073
926,2,01085
927,3,13043
928,1,19113
929,3,06105
930,3,13215
931,3,28135
932,1,20005
933,3,48003
934,1,39109
935,2,48375
936,3,40133
937,3,45003
938,3,06045
939,3,51550
940,1,56037
941,2,48169
942,1,54031
943,2,55089
944,1,47163
945,2,45059
946,1,56011
947,2,55117
948,2,25013
949,3,48055
950,1,20029
951,2,06027
952,1,01037
953,1,19059
954,2,21095
955,1,20061
956,1,42011
957,2,47019
958,1,27083
959,2,51037
960,1,47179
961,3,45071
962,3,51093
963,2,41069
964,3,29023
965,3,22047
966,3,28125
967,2,51061
968,1,51750
969,1,32005
970,3,12037
971,2,18055
972,1,18139
973,1,55131
974,2,29105
975,2,42085
976,3,05031
977,2,29195
978,2,17193
979,1,17039
980,1,32033
981,1,27049
982,2,37173
983,3,12101
984,3,12119
985,3,36059
986,1,38091
987,2,18163
988,2,29071
989,2,37011
990,2,54107
991,2,55007
992,2,47161
993,1,55097
994,3,45063
995,2,24003
996,1,55039
997,2,54101
998,2,55061
999,2,48369
1000,3,40151
1001,2,21063
1002,2,25003
1003,2,29041
1004,1,08103
1005,1,08087
1006,2,41045
1007,2,34023
1008,1,20167
1009,1,17155
1010,2,46055
1011,1,47111
1012,3,05023
1013,3,01109
1014,3,16003
1015,2,25005
1016,1,42107
1017,1,38103
1018,2,37045
1019,3,05059
1020,1,24021
1021,1,17169
1022,2,06051
1023,2,06109
1024,2,35013
1025,3,13081
1026,3,05027
1027,1,38039
1028,3,06095
1029,1,19043
1030,3,48449
1031,1,54027
1032,3,37125
1033,1,20009
1034,1,38087
1035,3,22083
1036,3,31071
1037,3,22099
1038,2,01119
1039,2,01133
1040,3,12117
1041,3,28035
1042,2,26065
1043,2,20177
1044,1,46061
1045,2,27061
1046,1,08073
1047,1,36053
1048,1,36115
1049,1,18081
1050,3,48445
1051,2,35021
1052,1,01121
1053,1,55067
1054,3,48155
1055,1,19021
1056,1,19129
1057,3,48385
1058,1,39041
1059,2,37067
1060,1,32510
1061,1,19049
1062,2,48065
1063,3,13261
1064,2,29223
1065,2,45007
1066,1,56007
1067,1,30093
1068,1,17177
1069,2,26087
1070,3,22027
1071,3,28161
1072,3,26079
1073,3,22039
1074,3,47069
1075,2,04003
1076,2,35023
1077,1,38023
1078,2,06071
1079,1,08083
1080,3,28023
1081,1,19125
1082,1,31055
1083,1,51600
1084,3,40057
1085,2,29039
1086,2,13059
1087,1,16085
1088,3,48275
1089,3,05103
1090,1,39037
1091,3,40071
1092,2,46041
1093,3,41057
1094,2,13077
1095,3,28127
1096,3,28131
1097,2,06013
1098,3,47017
1099,3,51087
1100,2,18119
1101,3,36119
1102,2,29017
1103,3,54047
1104,2,54033
1105,3,37077
1106,1,09009
1107,1,31139
1108,3,13023
1109,3,13033
1110,2,17181
1111,2,17091
1112,1,38051
1113,1,31141
1114,2,37185
1115,3,13197
1116,1,46027
1117,3,10005
1118,2,13159
1119,2,29175
1120,2,20015
1121,3,48209
1122,3,48325
1123,3,26105
1124,3,45013
1125,1,46135
1126,1,55105
1127,2,45077
1128,2,53013
1129,1,18023
1130,2,17027
1131,2,16067
1132,1,42113
1133,3,28121
1134,3,48345
1135,3,41039
1136,3,48485
1137,2,26155
1138,1,20089
1139,1,20123
1140,3,12007
1141,3,28091
1142,3,28039
1143,1,17085
1144,1,18059
1145,3,51620
1146,3,48329
1147,1,20171
1148,1,30013
1149,1,51660
1150,2,17199
1151,1,30029
1152,2,20189
1153,1,21067
1154,2,21091
1155,1,46013
1156,2,54001
1157,1,47181
1158,2,31013
1159,1,42097
1160,3,48469
1161,1,51530
1162,3,26147
1163,1,31173
1164,2,50015
1165,2,51067
1166,3,40011
1167,2,53037
1168,1,18135
1169,2,49025
1170,2,54093
1171,1,55023
1172,1,01071
1173,1,19123
1174,1,20045
1175,2,21059
1176,2,21197
1177,2,29097
1178,2,41061
1179,2,13151
1180,1,38001
1181,3,37137
1182,3,21083
1183,2,42021
1184,1,47107
1185,2,26093
1186,1,08001
1187,1,42069
1188,3,40123
1189,3,40037
1190,3,48457
1191,2,47175
1192,3,40125
1193,2,09013
1194,2,35053
1195,3,13003
1196,3,12031
1197,3,48145
1198,3,05149
1199,2,20033
1200,1,21113
1201,1,21171
1202,3,40075
1203,1,46079
1204,2,37033
1205,2,48377
1206,1,39057
1207,3,48489
1208,2,35028
1209,2,02122
1210,3,01003
1211,1,19007
1212,3,51127
1213,2,13263
1214,2,36049
1215,2,54015
1216,2,18077
1217,2,51019
1218,1,35033
1219,1,31011
1220,2,29149
1221,2,47083
1222,1,42131
1223,3,37107
1224,2,18167
1225,1,18039
1226,2,51077
1227,2,48303
1228,1,27093
1229,1,39005
1230,1,31119
1231,3,12085
1232,2,08079
1233,2,13085
1234,3,13167
1235,3,05095
1236,2,29059
1237,1,51143
1238,3,02068
1239,1,20145
1240,1,20209
1241,3,12029
1242,3,26157
1243,2,02240
1244,1,20065
1245,3,22097
1246,1,47055
1247,2,39095
1248,3,05093
1249,2,18043
1250,2,20129
1251,2,21081
1252,1,21217
1253,2,37075
1254,3,54045
1255,2,54073
1256,1,51071
1257,2,54019
1258,3,53061
1259,2,35015
1260,3,31117
1261,1,31145
1262,3,31149
1263,1,47085
1264,1,17125
1265,1,51197
1266,3,13303
1267,2,53077
1268,3,05143
1269,3,48213
1270,2,55035
1271,3,47153
1272,3,48471
1273,2,04005
1274,2,20191
1275,3,26127
1276,1,27065
1277,2,39007
1278,2,06003
1279,3,48167
1280,2,01011
1281,1,17105
1282,1,39135
1283,2,39079
1284,3,48201
1285,1,25017
1286,3,48115
1287,1,36069
1288,3,02261
1289,2,01001
1290,2,20121
1291,3,13091
1292,1,36023
1293,3,13039
1294,1,26161
1295,1,18087
1296,3,48371
1297,3,13225
1298,2,13311
1299,3,13163
1300,2,55083
1301,3,48347
1302,1,44009
1303,1,53047
1304,1,53063
1305,2,55041
1306,2,55113
1307,2,34017
1308,1,39151
1309,3,48187
1310,3,53029
1311,1,54037
1312,2,51153
1313,1,42029
1314,1,54055
1315,1,47145
1316,3,53009
1317,1,53065
1318,1,19177
1319,1,31073
1320,3,28095
1321,3,12033
1322,3,48439
1323,2,24033
1324,1,51169
1325,3,48239
1326,3,40085
1327,3,13289
1328,2,39099
1329,2,01087
1330,2,17191
1331,2,48437
1332,2,29151
1333,1,17089
1334,2,06017
1335,3,45055
1336,3,37073
1337,1,08089
1338,3,41019
1339,1,42089
1340,3,05101
1341,1,38019
1342,3,40103
1343,1,20063
1344,3,22077
1345,1,31067
1346,2,01115
1347,3,28123
1348,3,13095
1349,1,18061
1350,1,16017
1351,2,13047
1352,3,22059
1353,2,23027
1354,1,24027
1355,2,49035
1356,3,09003
1357,2,09015
1358,3,12087
1359,1,39157
1360,3,36085
1361,2,39071
1362,2,27077
1363,2,16011
1364,1,45045
1365,1,46085
1366,2,55121
1367,3,06113
1368,3,48431
1369,3,48495
1370,2,46071
1371,1,49041
1372,3,51036
1373,3,01023
1374,2,18083
1375,2,31047
1376,1,20057
1377,1,38105
1378,1,38017
1379,2,17069
1380,3,31005
1381,3,48163
1382,1,19103
1383,2,20133
1384,2,21089
1385,2,20107
1386,2,49017
1387,1,32011
1388,1,31085
1389,1,08095
1390,3,05013
1391,2,02090
1392,2,21101
1393,3,28051
1394,3,28105
1395,1,30027
1396,2,24023
1397,3,22119
1398,1,26059
1399,2,21141
1400,2,46033
1401,2,33013
1402,1,42133
1403,2,37161
1404,1,46005
1405,2,01043
1406,2,13097
1407,1,31097
1408,3,37187
1409,2,46075
1410,3,37007
1411,3,02100
1412,1,38007
1413,2,31003
1414,2,29073
1415,2,21031
1416,1,56005
1417,2,13211
1418,3,05037
1419,3,05107
1420,3,22093
1421,2,06115
1422,2,01117
1423,1,08091
1424,2,35009
1425,3,40149
1426,3,37135
1427,2,18131
1428,3,26019
1429,1,36029
1430,1,24031
1431,1,51685
1432,2,51013
1433,2,51035
1434,2,29183
1435,2,06069
1436,3,24035
1437,1,20013
1438,3,13031
1439,2,21071
1440,1,30007
1441,3,13309
1442,3,37049
1443,1,29087
1444,2,48295
1445,2,41009
1446,3,45041
1447,1,38061
1448,2,49053
1449,1,30003
1450,2,42047
1451,2,31165
1452,3,28031
1453,2,18013
1454,1,18019
1455,1,21021
1456,2,21065
1457,3,48087
1458,3,48089
1459,1,17063
1460,1,27081
1461,3,13109
1462,3,48497
1463,3,02050
1464,3,13307
1465,3,13169
1466,1,13135
1467,2,55095
1468,1,55045
1469,1,36079
1470,3,51700
1471,1,08011
1472,3,40065
1473,1,30089
1474,3,48173
1475,3,05047
1476,3,40093
1477,2,47125
1478,1,53051
1479,1,38055
1480,2,41027
1481,1,19197
1482,3,48419
1483,2,29055
1484,1,51017
1485,1,27111
1486,3,22075
1487,2,28115
1488,3,22067
1489,1,21029
1490,2,01047
1491,3,48093
1492,1,30053
1493,2,27021
1494,2,08007
1495,3,28163
1496,2,55087
1497,2,29107
1498,3,37195
1499,1,39117
1500,1,30039
1501,1,38031
1502,3,05033
1503,3,48053
1504,2,29186
1505,2,48179
1506,1,17109
1507,1,19137
1508,3,05067
1509,2,48229
1510,3,22079
1511,3,31111
1512,3,48067
1513,3,47079
1514,1,51840
1515,3,37061
1516,2,37087
1517,1,27037
1518,2,41025
1519,2,55001
1520,2,29045
1521,2,21015
1522,2,21229
1523,3,22009
1524,3,28137
1525,2,29227
1526,2,31163
1527,1,46021
1528,2,46063
1529,3,26057
1530,1,19175
1531,3,17127
1532,3,31113
1533,2,31121
1534,2,31161
1535,3,21039
1536,1,56025
1537,3,13321
1538,2,18109
1539,3,48139
1540,3,13229
1541,1,18053
1542,3,12035
1543,3,28077
1544,3,22127
1545,1,17073
1546,3,41041
1547,1,23031
1548,1,46029
1549,2,13231
1550,3,13259
1551,1,34025
1552,3,05021
1553,3,05045
1554,2,40041
1555,1,19107
1556,1,17061
1557,2,27075
1558,2,13285
1559,3,06023
1560,2,47043
1561,2,27003
1562,1,46009
1563,1,47059
1564,3,51183
1565,1,18141
1566,1,38067
1567,2,46007
1568,3,22115
1569,1,23019
1570,3,24041
1571,2,13257
1572,2,06065
1573,2,05005
1574,3,28007
1575,1,19169
1576,2,20011
1577,1,51049
1578,3,45085
1579,3,02164
1580,3,54109
1581,2,06029
1582,3,48097
1583,3,45075
1584,2,55119
1585,1,27099
1586,1,27101
1587,2,44007
1588,2,29161
1589,3,28117
1590,2,21235
1591,2,18149
1592,3,48491
1593,1,19131
1594,3,13107
1595,3,22025
1596,1,42025
1597,1,31133
1598,2,47171
1599,2,45083
1600,1,55073
1601,2,32007
1602,2,54007
1603,3,26165
1604,3,48079
1605,1,42013
1606,2,29085
1607,2,29009
1608,1,27123
1609,3,05081
1610,1,32019
1611,3,12071
1612,3,41033
1613,3,28113
1614,2,47031
1615,1,16059
1616,2,21183
1617,1,31153
1618,3,13071
1619,1,27167
1620,2,17157
1621,1,23011
1622,1,51173
1623,2,35041
1624,2,42111
1625,1,51191
1626,3,37081
1627,2,16001
1628,3,40039
1629,1,39101
1630,1,17149
1631,1,17203
1632,2,13245
1633,2,01107
1634,2,40045
1635,2,17145
1636,1,19075
1637,2,08107
1638,1,34035
1639,3,06011
1640,2,17087
1641,2,08053
1642,2,16031
1643,2,27059
1644,2,42049
1645,3,28029
1646,3,48467
1647,1,51161
1648,1,51015
1649,3,02060
1650,1,49031
1651,2,21161
1652,2,27009
1653,2,48129
1654,3,12005
1655,1,01077
1656,1,18045
1657,2,17173
1658,2,17051
1659,1,39127
1660,1,51590
1661,2,13011
1662,3,13305
1663,3,40109
1664,3,40069
1665,2,37099
1666,2,49043
1667,2,29167
1668,1,32015
1669,1,19191
1670,2,21023
1671,2,55037
1672,2,54087
1673,1,27159
1674,3,51670
1675,1,17201
1676,2,04007
1677,3,24045
1678,2,21043
1679,2,37097
1680,2,51083
1681,3,37091
1682,2,36057
1683,1,27113
1684,3,53073
1685,2,41021
1686,3,34029
1687,2,05009
1688,3,40031
1689,3,48253
1690,3,48185
1691,2,26049
1692,3,22007
1693,3,28013
1694,3,28041
1695,1,30017
1696,1,46109
1697,1,17141
1698,1,38077
1699,2,55005
1700,2,55051
1701,1,27157
1702,3,06015
1703,3,40127
1704,3,53007
1705,2,26141
1706,3,40027
1707,1,36105
1708,2,37149
1709,3,37165
1710,3,37085
1711,3,37105
1712,1,18159
1713,1,20027
1714,3,40145
1715,1,30083
1716,3,05003
1717,3,05041
1718,1,47135
1719,1,27163
1720,3,51740
1721,2,42051
1722,1,54023
1723,1,51171
1724,3,48235
1725,2,29025
1726,3,12107
1727,2,18025
1728,2,29111
1729,3,31075
1730,2,16071
1731,1,17139
1732,2,21107
1733,1,16035
1734,2,21013
1735,2,27035
1736,2,04009
1737,3,05123
1738,3,13101
1739,3,02070
1740,1,20105
1741,1,20183
1742,3,12065
1743,3,28005
1744,2,05097
1745,1,26025
1746,1,01029
1747,1,08123
1748,3,40009
1749,3,06049
1750,1,19153
1751,3,13179
1752,3,48349
1753,3,48047
1754,1,47187
1755,1,56021
1756,2,53003
1757,1,27155
1758,1,17017
1759,2,13247
1760,1,42067
1761,2,42083
1762,3,40049
1763,1,31021
1764,2,35045
1765,2,36073
1766,3,22031
1767,2,06019
1768,2,13105
1769,2,01005
1770,3,37017
1771,2,48111
1772,1,17167
1773,3,40035
1774,3,47035
1775,2,26137
1776,1,19161
1777,2,49015
1778,1,53019
1779,1,30109
1780,2,35027
1781,2,40021
1782,1,27173
1783,3,48231
1784,3,48335
1785,3,48499
1786,3,40113
1787,1,37039
1788,3,26107
1789,2,21195
1790,3,12067
1791,2,37035
1792,2,21025
1793,3,48075
1794,2,29181
1795,1,17179
1796,2,48243
1797,1,51678
1798,2,05135
1799,1,08069
1800,3,37177
1801,1,27131
1802,2,29219
1803,1,21227
1804,3,22017
1805,2,46121
1806,1,19127
1807,3,40141
1808,2,37113
1809,1,54063
1810,2,18155
1811,3,21105
1812,3,01061
1813,1,17099
1814,1,19055
1815,2,20127
1816,1,19051
1817,1,16015
1818,2,55081
1819,3,37143
1820,3,12047
1821,2,02170
1822,1,18035
1823,3,12075
1824,3,28045
1825,3,13315
1826,3,22081
1827,1,47093
1828,1,23017
1829,1,29095
1830,2,13281
1831,3,28129
1832,2,16075
1833,1,16079
1834,3,37095
1835,1,19067
1836,3,21145
1837,2,21225
1838,1,46125
1839,2,47029
1840,1,47067
1841,2,47071
1842,3,45067
1843,3,22117
1844,3,29207
1845,3,13093
1846,1,27145
1847,1,31155
1848,1,27141
1849,1,46035
1850,1,47025
1851,3,48337
1852,3,48049
1853,2,55101
1854,1,55115
1855,1,19009
1856,3,48207
1857,3,40083
1858,2,36065
1859,1,08065
1860,3,40121
1861,2,54017
1862,2,54105
1863,1,33003
1864,2,54095
1865,1,27079
1866,2,53017
1867,1,36009
1868,1,55027
1869,1,19105
1870,2,20007
